PID,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SalePrice
533352170,60,RL,0.0,13517,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,NA,BrkFace,289.0,TA,CBlock,TA,TA,No,GLQ,533.0,0.0,192.0,725.0,GasA,Ex,Y,SBrkr,754,0,1479,0.0,0.0,2,1,3,1,Typ,NA,Attchd,RFn,2.0,475.0,TA,Y,0,44,0,0,0,0,NA,NA,NA,0,3,2010,WD ,11.779136168550774
531379050,60,RL,43.0,11492,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,NA,BrkFace,132.0,TA,PConc,Gd,TA,No,GLQ,637.0,0.0,276.0,913.0,GasA,Ex,Y,SBrkr,1209,0,2122,1.0,0.0,2,1,4,1,Typ,TA,Attchd,RFn,2.0,559.0,TA,Y,0,74,0,0,0,0,NA,NA,NA,0,4,2009,WD ,12.301387370778713
535304180,20,RL,68.0,7922,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,NA,None,0.0,Gd,CBlock,TA,TA,No,GLQ,731.0,0.0,326.0,1057.0,GasA,TA,Y,SBrkr,0,0,1057,1.0,0.0,1,0,3,1,Typ,NA,Detchd,Unf,1.0,246.0,TA,Y,0,52,0,0,0,0,NA,NA,NA,0,1,2010,WD ,11.599112335481124
916386060,60,RL,73.0,9802,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,NA,None,0.0,TA,PConc,Gd,TA,No,Unf,0.0,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,700,0,1444,0.0,0.0,2,1,3,1,Typ,NA,BuiltIn,Fin,2.0,400.0,TA,Y,100,0,0,0,0,0,NA,NA,NA,0,4,2010,WD ,12.066816325306588
906425045,50,RL,82.0,14235,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,NA,None,0.0,TA,PConc,Fa,Gd,No,Unf,0.0,0.0,676.0,676.0,GasA,TA,Y,SBrkr,614,0,1445,0.0,0.0,2,0,3,1,Typ,NA,Detchd,Unf,2.0,484.0,TA,N,0,59,0,0,0,0,NA,NA,NA,0,3,2010,WD ,11.83863282480007
535126040,20,RL,137.0,16492,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,NA,None,0.0,TA,CBlock,TA,TA,No,ALQ,247.0,713.0,557.0,1517.0,GasA,Ex,Y,SBrkr,0,0,1888,0.0,0.0,2,1,2,1,Mod,Gd,Attchd,Fin,2.0,578.0,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2010,WD ,12.154784614286667
908186070,180,RM,35.0,3675,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,NA,BrkFace,82.0,TA,PConc,Gd,TA,Gd,GLQ,547.0,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,0,0,1072,1.0,0.0,2,0,2,1,Typ,NA,Basment,Fin,2.0,525.0,TA,Y,0,44,0,0,0,0,NA,NA,NA,0,6,2006,New,11.849404844423074
535154050,20,RL,0.0,12160,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,NA,BrkFace,180.0,TA,CBlock,TA,TA,No,Rec,1000.0,0.0,188.0,1188.0,GasA,Fa,Y,SBrkr,0,0,1188,1.0,0.0,1,0,3,1,Typ,NA,Attchd,RFn,2.0,531.0,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,5,2010,COD,11.863589378812122
535353130,20,RL,0.0,15783,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,NA,None,0.0,TA,CBlock,TA,TA,No,Rec,292.0,0.0,632.0,924.0,GasA,TA,Y,SBrkr,0,0,924,0.0,0.0,1,0,2,1,Typ,NA,Detchd,Unf,1.0,420.0,TA,Y,0,324,0,0,0,0,NA,MnPrv,Shed,400,6,2007,WD ,11.630717389475995
535426130,60,RL,70.0,11606,Pave,NA,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,NA,BrkFace,192.0,TA,PConc,Gd,TA,Av,Rec,650.0,0.0,390.0,1040.0,GasA,TA,Y,SBrkr,1040,0,2080,0.0,1.0,1,2,5,1,Typ,TA,Attchd,Unf,2.0,504.0,TA,Y,335,0,0,0,0,0,NA,NA,NA,0,9,2007,WD ,11.813037464800539
