PID,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SalePrice
533352170,60,6,0.0,13517,2,0,1,2,4,3,1,23,9,3,1,4,6,8,1976,2005,2,2,7,0,2,289.0,3,2,3,3,0,6,533.0,0.0,192.0,725.0,2,5,1,1,754,0,1479,0.0,0.0,2,1,3,1,1,0,2,2,2.0,475.0,3,3,0,44,0,0,0,0,0,0,0,0,3,2010,1,11.779136168550774
531379050,60,6,43.0,11492,2,0,1,2,4,3,1,24,3,3,1,4,7,5,1996,1997,2,2,15,0,2,132.0,3,3,4,3,0,6,637.0,0.0,276.0,913.0,2,5,1,1,1209,0,2122,1.0,0.0,2,1,4,1,1,3,2,2,2.0,559.0,3,3,0,74,0,0,0,0,0,0,0,0,4,2009,1,12.301387370778713
535304180,20,6,68.0,7922,2,0,4,2,4,1,1,20,3,3,1,1,5,7,1953,2007,2,2,15,0,0,0.0,4,2,3,3,0,6,731.0,0.0,326.0,1057.0,2,3,1,1,0,0,1057,1.0,0.0,1,0,3,1,1,0,6,1,1.0,246.0,3,3,0,52,0,0,0,0,0,0,0,0,1,2010,1,11.599112335481124
916386060,60,6,73.0,9802,2,0,4,2,4,1,1,27,3,3,1,4,5,5,2006,2007,2,2,15,0,0,0.0,3,3,4,3,0,1,0.0,0.0,384.0,384.0,2,4,1,1,700,0,1444,0.0,0.0,2,1,3,1,1,0,4,3,2.0,400.0,3,3,100,0,0,0,0,0,0,0,0,0,4,2010,1,12.066816325306588
906425045,50,6,82.0,14235,2,0,1,2,4,1,1,24,3,3,1,2,6,8,1900,1993,2,2,16,0,0,0.0,3,3,2,4,0,1,0.0,0.0,676.0,676.0,2,3,1,1,614,0,1445,0.0,0.0,2,0,3,1,1,0,6,1,2.0,484.0,3,1,0,59,0,0,0,0,0,0,0,0,3,2010,1,11.83863282480007
535126040,20,6,137.0,16492,2,0,1,2,4,2,1,20,7,3,1,1,6,6,1966,2002,2,2,4,0,0,0.0,3,2,3,3,0,5,247.0,713.0,557.0,1517.0,2,5,1,1,0,0,1888,0.0,0.0,2,1,2,1,4,4,2,3,2.0,578.0,3,3,0,0,0,0,0,0,0,0,0,0,6,2010,1,12.154784614286667
908186070,180,8,35.0,3675,2,0,4,2,4,1,1,8,3,3,4,7,6,5,2005,2006,2,2,15,0,2,82.0,3,3,4,3,3,6,547.0,0.0,0.0,547.0,2,4,1,1,0,0,1072,1.0,0.0,2,0,2,1,1,0,3,3,2.0,525.0,3,3,0,44,0,0,0,0,0,0,0,0,6,2006,4,11.849404844423074
535154050,20,6,0.0,12160,2,0,1,2,4,1,1,20,3,3,1,1,5,5,1959,1959,4,2,11,0,2,180.0,3,2,3,3,0,3,1000.0,0.0,188.0,1188.0,2,2,1,1,0,0,1188,1.0,0.0,1,0,3,1,1,0,2,2,2.0,531.0,3,3,0,0,0,0,0,0,0,3,0,0,5,2010,5,11.863589378812122
535353130,20,6,0.0,15783,2,0,4,2,4,1,1,21,1,3,1,1,5,5,1952,1952,2,2,16,0,0,0.0,3,2,3,3,0,3,292.0,0.0,632.0,924.0,2,3,1,1,0,0,924,0.0,0.0,1,0,2,1,1,0,6,1,1.0,420.0,3,3,0,324,0,0,0,0,0,3,4,400,6,2007,1,11.630717389475995
535426130,60,6,70.0,11606,2,0,1,4,4,1,3,20,3,3,1,4,5,5,1969,1969,2,2,11,0,2,192.0,3,3,4,3,2,3,650.0,0.0,390.0,1040.0,2,3,1,1,1040,0,2080,0.0,1.0,1,2,5,1,1,3,2,1,2.0,504.0,3,3,335,0,0,0,0,0,0,0,0,0,9,2007,1,11.813037464800539
